Geslacht;Leeftijd;Perioden;Regio's;Bevolking (aantal);Onderwijsniveau 5 categorien/11 Basisonderwijs (%);Onderwijsniveau 5 categorien/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%);Onderwijsniveau 5 categorien/21 Havo, vwo, mbo2-4 (%);Onderwijsniveau 5 categorien/31 Hbo-, wo-bachelor (%);Onderwijsniveau 5 categorien/32 Hbo-, wo-master, doctor (%)
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Nederland;13206100;9,4;18,9;41,4;19,3;10,9
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Noord-Nederland (LD);1310300;8,8;19,5;45,8;18,4;7,6
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Oost-Nederland (LD);2769200;9,2;19,8;43,5;18,9;8,6
Totaal mannen en vrouwen;15 tot 75 jaar;2019;West-Nederland (LD);6318000;9,5;17,8;39,4;19,8;13,6
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Zuid-Nederland (LD);2808600;9,7;20,1;42,1;19,2;8,9
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Groningen (PV);454800;8,5;17,4;44,6;19,2;10,3
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Fryslan (PV);486600;8,8;20,7;46,5;18,3;5,8
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Drenthe (PV);369000;9,1;20,4;46,3;17,5;6,7
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Overijssel (PV);871600;9,2;19,5;44,7;19;7,5
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Flevoland (PV);321300;9,6;20,2;45,5;17,8;6,9
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Gelderland (PV);1576200;9,1;19,9;42,4;19;9,6
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Utrecht (PV);1021700;8,1;16,4;36,9;21,6;17
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Noord-Holland (PV);2205400;9;16,8;38,1;20,8;15,3
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Zuid-Holland (PV);2805800;10,5;18,7;40,4;18,6;11,7
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Zeeland (PV);285100;8,6;21,9;47,2;16,6;5,7
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Noord-Brabant (PV);1950700;9,3;19,9;41,8;19,7;9,4
Totaal mannen en vrouwen;15 tot 75 jaar;2019;Limburg (PV);857900;10,7;20,7;42,8;18,1;7,8
