"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 5 categorieën/11 Basisonderwijs (%)";"Onderwijsniveau 5 categorieën/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%)";"Onderwijsniveau 5 categorieën/21 Havo, vwo, mbo2-4 (%)";"Onderwijsniveau 5 categorieën/31 Hbo-, wo-bachelor (%)";"Onderwijsniveau 5 categorieën/32 Hbo-, wo-master, doctor (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nederland";13300700;8,6;18;41,8;19,9;11,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noord-Nederland (LD)";1314000;7,7;18,6;46,7;19;8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Oost-Nederland (LD)";2797800;8,3;18,8;43,9;19,5;9,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"West-Nederland (LD)";6369900;8,7;17;39,5;20,3;14,5
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zuid-Nederland (LD)";2818900;8,9;18,9;42,5;19,8;9,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Groningen (PV)";456000;7,3;16,6;45,3;19,9;10,8
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Fryslân (PV)";487300;7,5;19,8;47,6;19;6,1
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Drenthe (PV)";370700;8,3;19,4;47,3;17,9;7,1
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Overijssel (PV)";878700;8,3;18,6;45,2;19,7;8,2
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Flevoland (PV)";330000;8,5;19,1;46;18,9;7,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gelderland (PV)";1589200;8,2;18,9;42,7;19,6;10,6
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Utrecht (PV)";1031000;7,4;15,4;36,6;22,2;18,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noord-Holland (PV)";2220200;8,2;16,1;38,3;21,3;16,1
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zuid-Holland (PV)";2833200;9,7;17,9;40,6;19,1;12,7
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Zeeland (PV)";285600;7,8;20,7;47,7;17,3;6,4
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Noord-Brabant (PV)";1965800;8,6;18,7;42,1;20,4;10,3
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Limburg (PV)";853100;9,7;19,3;43,7;18,6;8,7
