Geslacht;Leeftijd;Perioden;Regio's;Bevolking (aantal);Onderwijsniveau 5 categorien/11 Basisonderwijs (%);Onderwijsniveau 5 categorien/12 Vmbo, havo-, vwo-onderbouw, mbo1 (%);Onderwijsniveau 5 categorien/21 Havo, vwo, mbo2-4 (%);Onderwijsniveau 5 categorien/31 Hbo-, wo-bachelor (%);Onderwijsniveau 5 categorien/32 Hbo-, wo-master, doctor (%)
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Nederland;13419100;8,6;17,6;41,7;20,1;11,9
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Noord-Nederland (LD);1320800;7,7;18,3;46,8;19,2;8,1
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Oost-Nederland (LD);2821900;8,3;18,4;44;19,8;9,6
Totaal mannen en vrouwen;15 tot 75 jaar;2022;West-Nederland (LD);6438200;8,8;16,8;39,4;20,4;14,6
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Zuid-Nederland (LD);2838200;9,1;18,5;42,5;20;9,9
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Groningen (PV);459000;7,4;16,5;45,3;19,9;10,9
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Fryslan (PV);489600;7,5;19,4;47,7;19,3;6,1
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Drenthe (PV);372200;8,3;19;47,4;18,1;7,1
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Overijssel (PV);886000;8,4;18,3;45,2;19,9;8,2
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Flevoland (PV);336500;8,5;18,8;46,2;19;7,6
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Gelderland (PV);1599400;8,2;18,4;42,8;19,9;10,7
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Utrecht (PV);1041300;7,4;15,3;36,7;22,2;18,4
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Noord-Holland (PV);2248600;8,2;15,8;38,2;21,4;16,3
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Zuid-Holland (PV);2861200;9,8;17,7;40,4;19,3;12,7
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Zeeland (PV);287000;8,1;20,2;47,8;17,5;6,4
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Noord-Brabant (PV);1982900;8,7;18,3;42;20,6;10,5
Totaal mannen en vrouwen;15 tot 75 jaar;2022;Limburg (PV);855200;10;19,1;43,6;18,7;8,6
